word,memory,syn,ant,type,day,def,syn_def,ant_def
Ample,充足的,Plentiful,Meagre,Core,1,"Large; great in size, extent, capacity, or bulk; for example spacious, roomy or widely extended.",Existing in large number or ample amount.,"Argyrosomus regius, an edible fish of the family Sciaenidae."
Sober,清醒的/嚴肅的,Serious,Drunk,Core,1,(often with up) To make or become sober.,Without humor or expression of happiness; grave in manner or disposition,To consume (a liquid) through the mouth.
Amateur,結尾-eur。業餘愛好者,Novice,Professional,Elite,1,A lover of something.,A beginner; one who is not very familiar or experienced in a particular subject.,A person who belongs to a profession
Profession,職業。一F雙S,Career,Hobby,Core,1,"A declaration of belief, faith or one's opinion, whether genuine or pretended.",One's calling in life; a person's occupation; one's profession.,An activity that one enjoys doing in one's spare time.
Chaos,混亂。Ch發k音,Disorder,Order,Elite,1,The unordered state of matter in classical accounts of cosmogony.,Absence of order; state of not being arranged in an orderly manner.,"Arrangement, disposition, or sequence."
Obsequious,諂媚,Fawning,Proud,Elite,2,Obedient; compliant with someone else's orders or wishes.,To give birth to a fawn.,Feeling honoured (by something); feeling happy or satisfied about an event or fact; gratified.
Vanished,消失的,Disappeared,Seen,Core,2,To become invisible or to move out of view unnoticed.,To vanish.,"(stative) To perceive or detect with the eyes, or as if by sight."
Colossal,巨大的。一L雙S,Huge,Tiny,Elite,2,Extremely large or on a great scale.,Very large.,A small child; an infant.
Evaluation,評估,Assessment,,Core,2,"An assessment, such as an annual personnel performance review used as the basis for a salary increase or bonus, or a summary of a particular situation.","The act of assessing or an amount (of tax, levy or duty etc) assessed.",
Appeal,呼籲/吸引力,Request,Repel,Core,2,An application for the removal of a cause or suit from an inferior to a superior judge or court for re-examination or review.,"Act of requesting (with the adposition at in the presence of possessives, and on in their absence).","To turn (someone) away from a privilege, right, job, etc."
Devote,奉獻/致力於,Dedicate,Ignore,Core,3,"To give one's time, focus one's efforts, commit oneself, etc. entirely for, on, or to a certain matter",To set apart for a deity or for religious purposes; consecrate.,To deliberately not listen or pay attention to.
Advantage,結尾-age。長輩更有優勢,Benefit,Obstacle,Core,3,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end.",An advantage; help or aid from something.,"Something that impedes, stands in the way of, or holds up progress"
Garment,衣服/外衣,Clothing,,Core,3,A single item of clothing.,To adorn or cover with clothing; to dress; to supply clothes or clothing.,
Brusque,唐突的/無禮的,Abrupt,Polite,Elite,3,"Rudely abrupt, unfriendly.",Something which is abrupt; an abyss.,To polish; to refine; to render polite.
